,Dataset,Time,Preprocessing,AutoML,Accuracy,F1,Shape
1,AP_Omentum_Ovary,14.05m,None,AutoSK,0.8157584103875664,0.8260869565217391,"(275, 10936)"
2,AP_Omentum_Ovary,14.05m,AutoSK,AutoSK,0.8051529790660226,0.8260869565217391,"(275, 10936)"
3,AP_Omentum_Ovary,14.05m,AutoFeat,TPOT,0.8977624629798543,0.8985507246376812,"(275, 26)"
4,AP_Omentum_Ovary,14.05m,None,TPOT,0.8241426467953844,0.8405797101449275,"(275, 10936)"
5,AP_Omentum_Ovary,14.05m,TPOT,TPOT,0.8241426467953844,0.8405797101449275,"(275, 10936)"
0,rsctc2010_3,27.97m,AutoFeat,AutoSK,0.9578282828282828,0.9583333333333334,"(95, 35)"
1,rsctc2010_3,27.97m,None,AutoSK,0.7708125208125208,0.7916666666666666,"(95, 22277)"
2,rsctc2010_3,27.97m,AutoSK,AutoSK,0.915954415954416,0.9166666666666666,"(95, 22277)"
3,rsctc2010_3,27.97m,AutoFeat,TPOT,0.891025641025641,0.875,"(95, 35)"
4,rsctc2010_3,27.97m,None,TPOT,0.915954415954416,0.9166666666666666,"(95, 22277)"
5,rsctc2010_3,27.97m,TPOT,TPOT,0.915954415954416,0.9166666666666666,"(95, 22277)"
0,sonar,10.02m,AutoFeat,AutoSK,0.825954001205961,0.8269230769230769,"(208, 9)"
1,sonar,10.02m,None,AutoSK,0.7486002239641658,0.75,"(208, 60)"
2,sonar,10.02m,AutoSK,AutoSK,0.8246414602346805,0.8269230769230769,"(208, 60)"
3,sonar,10.02m,AutoFeat,TPOT,0.783380744303352,0.7884615384615384,"(208, 9)"
4,sonar,10.02m,None,TPOT,0.8447699227309422,0.8461538461538461,"(208, 60)"
5,sonar,10.02m,TPOT,TPOT,0.7467043314500942,0.75,"(208, 60)"
0,vehicle_sensIT,12.58m,AutoFeat,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 61)"
1,vehicle_sensIT,12.58m,None,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
2,vehicle_sensIT,12.58m,AutoSK,AutoSK,0.3291467170594593,0.496224423514128,"(98528, 100)"
3,vehicle_sensIT,12.58m,AutoFeat,TPOT,0.8652372175618159,0.8657031503734979,"(98528, 61)"
4,vehicle_sensIT,12.58m,None,TPOT,0.8673517023857811,0.8677736278012341,"(98528, 100)"
5,vehicle_sensIT,12.58m,TPOT,TPOT,0.8554859227356393,0.8557973367976616,"(98528, 100)"
0,airlines,10.97m,AutoFeat,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
1,airlines,10.97m,None,AutoSK,0.3957255077101513,0.5546178603740564,"(539383, 7)"
2,airlines,10.97m,AutoSK,AutoSK,0.6577470928457574,0.6593966450617742,"(539383, 7)"
3,airlines,10.97m,AutoFeat,TPOT,0.6597688111396427,0.6668792548536849,"(539383, 7)"
4,airlines,10.97m,None,TPOT,0.6608329331504216,0.6650994467763226,"(539383, 7)"
5,airlines,10.97m,TPOT,TPOT,0.6573618568825899,0.6657001320024324,"(539383, 7)"
0,micro-mass,11.22m,AutoFeat,AutoSK,0.5357307151197472,0.5524475524475524,"(571, 16)"
1,micro-mass,11.22m,None,AutoSK,0.8478514949103184,0.8531468531468531,"(571, 1300)"
2,micro-mass,11.22m,AutoSK,AutoSK,0.8416034838906085,0.8461538461538461,"(571, 1300)"
3,micro-mass,11.22m,AutoFeat,TPOT,0.417071455540521,0.46853146853146854,"(571, 16)"
4,micro-mass,11.22m,None,TPOT,0.9060939714541763,0.9090909090909091,"(571, 1300)"
5,micro-mass,11.22m,TPOT,TPOT,0.9094290382134891,0.9090909090909091,"(571, 1300)"
